"COU","Country","DESIG","Designation","DOMAIN","Domain","MEASURE","Measure","CALCULATION","Calculation method","SCOPE","Scope","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,27.539,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,28.043,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,28.044,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,28.164,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,28.852,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,29.13,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,29.385,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2022","2022","PC","Percentage","0","Units",,,29.385,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,0,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,0.021,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,0.068,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,0.07,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,3.325,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,3.897,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,7.199,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,9.07,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,14.695,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,14.712,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,14.766,,
